original order,Case Number,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Time
4697.0,2005.03.10,2005.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Unknown,M,Bites by 2.5 m tiger shark were post mortem,Unknown,15:30
4696.0,2005.03.09,2005.0,Provoked,NEW ZEALAND,North Island,Fishing,M,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,14:00
4695.0,2005.03.05,2005.0,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,Diving,M,Thighs bitten,N,14:00
4694.0,2005.02.26,2005.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Finger bitten,N,14:00
4693.0,2005.02.22,2005.0,Provoked,USA,Florida,Spearfishing,M,Speared shark bit his chest PROVOKED INCIDENT,N,14:00
4692.0,2005.02.16,2005.0,Unprovoked,USA,Hawaii,Surfing,M,"No injury, knocked off board, shark bit board",N,14:30
4691.0,2005.02.13,2005.0,Unprovoked,USA,Florida,Spearfishing,M,Hand bitten,N,14:30
4690.0,2005.02.04,2005.0,Unprovoked,BRAZIL,Bahia,Surfing,M,Right thigh & ankle injured,N,14:30
4689.0,2005.01.20,2005.0,Unprovoked,CUBA,Santiago de Cuba Province,Swimming,M,Left foot severed,N,14:30
4688.0,2005.01.19,2005.0,Provoked,AUSTRALIA,Victoria,Spearfishing,M,No injury. Towed by speared shark PROVOKED INCIDENT,N,14:30
4687.0,2005.01.14,2005.0,Provoked,AUSTRALIA,Victoria,Attempting,Unknown,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,14:00
4686.0,2005.01.08,2005.0,Boat,NEW ZEALAND,North Island,Fishing,M,"No injury, kayak bumped repeatedly",N,12:00
4685.0,2004.12.26,2004.0,Invalid,SRI LANKA,Eastern Province,Swept,F,No injury,Unknown,12:00
4684.0,2004.12.16,2004.0,Unprovoked,AUSTRALIA,South Australia,Scurfingsurfboard,M,FATAL,Y,15:15
4683.0,2004.12.11,2004.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,"FATAL, leg bitten",Y,13:00
4682.0,2004.11.27,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,3 lacerations on foot,N,18:00
4681.0,2004.11.26,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Playing,M,Lacerations on lower leg & foot,N,18:00
4680.0,2004.11.15,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,F,FATAL,Y,07:00
4679.0,2004.11.11,2004.0,Unprovoked,USA,California,Surfing,Unknown,"Lacerations to hand, knee & thigh ",N,13:30
4678.0,2004.11.11,2004.0,Unprovoked,VANUATU,Malampa Province,Snorkeling,M,Thigh bitten,N,09:00
4677.0,2004.11.00,2004.0,Unprovoked,NEW CALEDONIA,North Province,Diving,Unknown,Forearm bitten,N,09:00
4676.0,2004.10.31,2004.0,Unprovoked,CUBA,Camaguey Province,Diving,M,Left forearm bitten,N,14:00
4675.0,2004.10.30,2004.0,Invalid,NEW ZEALAND,North Island,Unknown,Unknown,No injury,Unknown,14:00
4674.0,2004.10.30,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Chumming,M,Right ankle & foot lacerated,N,08:30
4673.0,2004.10.21,2004.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Right foot lacerated,N,16:00
4672.0,2004.10.10,2004.0,Unprovoked,USA,California,Surfing,M,Lower leg bitten,N,09:30
4671.0,2004.10.09,2004.0,Unprovoked,USA,Hawaii,Spearfishing,M,Left shoulder bitten,N,12:40
4670.0,2004.10.09,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Puncture wounds on right foot,N,08:30
4669.0,2004.10.06,2004.0,Unprovoked,REUNION,Conservatória District,Surfing,M,"Leg severely bitten, surgically amputated",N,16:15
4668.0,2004.10.02,2004.0,Unprovoked,USA,California,Surfing,M,"No injury, knocked off surfboard",N,15:30
4667.0,2004.10.01,2004.0,Unprovoked,USA,California,Surfing,M,"No injury, shark struck board & spun it around",N,14:00
4666.0,2004.09.25,2004.0,Boat,AUSTRALIA,Queensland,Spearfishing,Unknown,"No injury to occupants, boat damaged",N,12:00
4665.0,2004.09.20,2004.0,Unprovoked,USA,Oregon,Surfing,M,Leg bitten,N,09:00
4664.0,2004.09.10,2004.0,Invalid,USA,Texas,Surfing,M,Minor scratch on calf,Unknown,B
4663.0,2004.09.08,2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,Unknown,FATAL,Y,B
4662.0,2004.09.04,2004.0,Unprovoked,USA,South Carolina ,Jumping,F,Left knee & leg bitten,N,15:40
4661.0,2004.08.29,2004.0,Unprovoked,USA,Florida,Walking,F,Heel bitten,N,17:30
4660.0,2004.08.21,2004.0,Unprovoked,BRAZIL,Pernambuco,Bathing,M,Calf bitten & both hands injured,N,13:00
4659.0,2004.08.20,2004.0,Unprovoked,USA,California,Surfing,M,Foot bitten,N,17:30
4658.0,2004.08.15,2004.0,Unprovoked,USA,California,Diving,M,FATAL,Y,16:00
4657.0,2004.08.06,2004.0,Unprovoked,USA,Florida,Swimming,M,"Back, buttocks, left hand & left side of face bitten",N,20:30
4656.0,2004.08.03,2004.0,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,Minor puncture wounds to leg,N,14:00
4655.0,2004.08.00,2004.0,Boat,SOUTH AFRICA,KwaZulu-Natal,Fishing,Unknown,No injury to occupants; boat damaged,N,14:00
4654.0,2004.07.31,2004.0,Unprovoked,USA,Florida,Surfing,F,Right foot bitten,N,13:00
4653.0,2004.07.30,2004.0,Unprovoked,RUSSIA,Kuril Islands in the Pacific,Diving,M,Thigh & calf bitten,N,13:00
4652.0,2004.07.28,2004.0,Unprovoked,USA,North Carolina,Surfing,F,Right calf bitten,N,17:30
4651.0,2004.07.27,2004.0,Unprovoked,USA,North Carolina,Swimming,F,Right forearm & wrist lacerated,N,17:00
4650.0,2004.07.27,2004.0,Unprovoked,USA,Texas,Swimming,F,Right foot bitten,N,16:30
4649.0,2004.07.25,2004.0,Unprovoked,USA,Texas,Wading,M,Right forearm nearly severed and bites above & below the right knee,N,19:30
4648.0,2004.07.19,2004.0,Boat,AUSTRALIA,Western Australia,Fishing,Unknown,"No injury to occupants; shark mouthed motor, severed anchor line",N,19:30
4647.0,2004.07.15,2004.0,Unprovoked,JAPAN,Wakayama Prefecture,Fishing,M,Suffered broken ribs when the shark's tail fin slammed into his chest,N,19:30
4646.0,2004.07.10,2004.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"FATAL, abdomen, pelvis & leg bitten      ",Y,14:10
4645.0,2004.07.02,2004.0,Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,F,Hand severed,N,14:10
4644.0,2004.07.02,2004.0,Unprovoked,USA,Alabama,Wading,M,Right foot lacerated,N,16:40
4643.0,2004.06.26,2004.0,Unprovoked,USA,California,Surfing,M,"No injury, shark struck his board",N,09:00
4642.0,2004.06.26,2004.0,Invalid,AUSTRALIA,Western Australia,Crayfishing,M,"No injury, shark made threat displays & diver fended it off with his speargun",Unknown,09:00
4641.0,2004.06.14,2004.0,Unprovoked,USA,Florida,In,F,Foot bitten,N,09:00
4640.0,2004.06.10,2004.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Ankle & foot lacerated,N,19:30
4639.0,2004.06.10,2004.0,Unprovoked,USA,Florida,Swimming,M,Right wrist  & left arm lacerated,N,18:00
4638.0,2004.06.02,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,"FATAL, leg severed ",Y,15:00
4637.0,2004.05.29,2004.0,Unprovoked,USA,Texas,Wading,M,Puncture wounds on shin,N,19:45
4636.0,2004.05.23,2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,"Left hand, foot severed &  left calf & arm bitten",N,14:30
4635.0,2004.05.28,2004.0,Unprovoked,USA,California,Surfing,M,No injury,N,11:00
4634.0,2004.05.23,2004.0,Unprovoked,USA,Florida,Boogie,M,Calf & foot lacerated,N,12:30
4633.0,2004.05.22,2004.0,Invalid,USA,Florida,Swimming,M,Single puncture wound on the foot,Unknown,12:30
4632.0,2004.05.22,2004.0,Unprovoked,USA,Florida,Unknown,F,Foot bitten,N,16:00
4631.0,2004.05.22,2004.0,Unprovoked,BRAZIL,Pernambuco,Wading,F,Hips & thighs bitten,N,16:00
4630.0,2004.05.18,2004.0,Provoked,BAHAMAS,Abaco Islands,Diving,M,Left forearm bitten PROVOKED INCIDENT,N,15:00
4629.0,2004.05.04,2004.0,Unprovoked,USA,Texas,Tandem,M,"No injury, board bitten",N,16:30
4628.0,2004.05.01,2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,16:00
4627.0,2004.04.26,2004.0,Unprovoked,AUSTRALIA,New South Wales,Diving,M,Puncture wounds on wrist,N,08:30
4626.0,2004.04.22,2004.0,Boat,NEW ZEALAND,North Island,Fishing,Unknown,"No injury to occupants, boat scratched by shark",N,08:30
4625.0,2004.04.13,2004.0,Unprovoked,TONGA,Nuku'alofa,Five5,M,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,08:30
4624.0,2004.04.13,2004.0,Invalid,TONGA,Nuku'alofa,Five5,M,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,08:30
